Distance_(pixels),Gray_Value
1431,5.0052
1432,5.3333
1433,5.3333
1434,5.3333
1435,4.9790
1436,4.3333
1437,4.3333
1438,4.3333
1439,4.4425
1440,4.6667
1441,5.2664
1442,5.3560
1443,5.8221
1444,6.5291
1445,6.4815
1446,6.9217
1447,8.3936
1448,7.8052
1449,7.8858
1450,8.4246
1451,8.5966
1452,8.9084
1453,9.2874
1454,10.4556
1455,10.6715
1456,11.8926
1457,13.2583
1458,14.0203
1459,14.5473
1460,14.8066
1461,15.3136
1462,15.9212
1463,16.6835
1464,17.6248
1465,17.6667
1466,17.5919
1467,18.3302
1468,18.9174
1469,19.4386
1470,19.3624
1471,20.1192
1472,20.4504
1473,20.9097
1474,21.3333
1475,21.3333
1476,21.2083
1477,21.3333
1478,21.3333
1479,21.3333
1480,21.6415
1481,21.9349
1482,22.4066
1483,22.8045
1484,23.5255
1485,22.8185
1486,22.1930
1487,22.0000
1488,22.0000
1489,21.5263
1490,21.3333
1491,21.2434
1492,19.7117
1493,19.3333
1494,19.2662
1495,18.7945
1496,18.0419
1497,17.2490
1498,16.6049
1499,15.9210
1500,15.3127
1501,14.7117
1502,14.7682
1503,13.9019
1504,13.2398
1505,13.0042
1506,12.5535
1507,12.3335
1508,11.6281
1509,10.9628
1510,10.6667
1511,10.4215
1512,8.4731
1513,7.4556
1514,7.5685
1515,7.9992
1516,8.0000
1517,7.7769
1518,7.4210
1519,6.6908
1520,6.3722
1521,5.6667
1522,5.6647
1523,5.4290
1524,5.3333
1525,5.1538
1526,4.0874
1527,4.0000
1528,4.0000
1529,4.0000
1530,4.0000
1531,4.2458
1532,4.5910
1533,3.7328
1534,3.6583
1535,4.4919
1536,4.5025
1537,4.6667
1538,4.6667
1539,4.6667
1540,4.0181
1541,3.6667
1542,3.6759
1543,4.3240
1544,4.6667
1545,4.5779
1546,4.3423
1547,4.3333
1548,4.7455
1549,5.7759
1550,6.6118
1551,6.6667
1552,6.5273
1553,5.8197
1554,5.9469
1555,6.0026
1556,6.6810
1557,7.1423
1558,7.9991
1559,8.2718
